fp_page_id,fp_word
1821,companionship
1821,erroneous
1821,erroneous
1821,erroneous
1821,overviews
1860,strengthened
1860,Hurricane
1860,strengthened
1860,torrential
1860,evacuated
1860,curb
1860,sustained
1860,sustained
1860,diplomatic
1860,engagement
1861,acoustic
1931,inclement
1980,emergency
1980,preparedness
1980,minister
1980,sizable
2013,entrepreneurs
2013,flourishes
2014,excessive
2014,orchestras
2046,investigation
2046,metaphysical
2046,characterization
2670,neutrality
2671,concurring
2681,singular
2681,demographic
2681,demographic
2681,demographic
2681,generalizing
2682,generalizing
2682,generalizing
2736,depleted
2737,ideology
2737,incentive
2746,fleeting
2752,insincere
2756,exploit
2756,explanatory
2772,custody
2772,probe
2772,galvanize
2772,gusting
2778,detainees
2778,northeastern
2780,reconstructions
2781,reconstructions
2781,reconstructions
2781,reconstructions
2781,reconstructions
2781,reconstructions
2781,reconstructions
2781,reconstructions
2781,reconstructions
2781,reconstructions
2781,reconstructions
2781,reconstructions
2781,reconstructions
2781,(apart
2782,reconstructions
2782,(apart
2782,reconstructions
2782,(apart
2786,Attacks
2788,stimulating
2788,collaborations
1226,overturning
1226,guerrilla
1226,tearful
1236,preparedness
1236,reception
1236,borrowing
1247,stranding
1247,perceptions
1249,Millennials
1249,Postgraduates
1250,Postgraduates
1250,Postgraduates
1250,Postgraduates
1250,Postgraduates
1250,Postgraduates
1250,Postgraduates
1250,Postgraduates
1250,Postgraduates
1250,Postgraduates
1299,computational
1323,handbrake
1324,marginal
1324,Stringent
1324,dismissal
1324,mechanisms
1588,gusting
1590,prolonged
1591,abdication
1591,abdication
1591,meddling
1592,bagged
1592,bagged
1642,charisma
1686,dissident
1686,ceasefire
1686,ceasefire
1692,fraction
1692,pensioner
1692,travails
1701,confrontations
1701,dictator
1743,intervention
1743,intervention
1743,infrastructure
1747,memorization
1794,alleviation
1794,conflicting
1824,pilgrims
1826,grievance
1826,grievance
1826,contractual
1826,paradoxically
1831,dismissal
1862,allegedly
1862,repetition
1862,cricket
1927,collaboration
1927,stereotyping
1929,aeronautical
1929,citizen
1948,borne
1948,pensioner
1948,subsidise
1949,compensation
1959,propositional
1966,propositional
2018,meteoroids
2019,characterization
2020,characterization
2020,characterization
2020,characterization
2020,characterization
2020,characterization
2020,characterization
2020,characterization
2052,anthropological
2053,anthropological
2066,reductionist)
2066,propositional
2067,platitudes
2639,horizontal
2646,conditional
2654,representations
2656,companionship
2656,surveys
2657,blackouts
2662,synonymous
2662,computational
2665,stereotyping
2666,comparatively
2667,investigation
2678,antirealism
2678,antirealism
2683,dominant
2683,computational
2683,reconstructions
2683,reconstructions
2686,trustworthy
2686,intentional
2688,susceptibility
2688,lengthen
2689,intervention
2692,inequality
2692,conflicting
2692,correlations
2704,intentionality
2704,issues
2705,joker
2707,interference
2715,considerable
2715,flooding
2723,lashed
2723,uprooted
2723,borrowing
2723,Marchers
2726,upheld
2726,upheld
2729,resemblance
2729,computational
2730,conceptual
2730,conceptual
2730,conceptual
2731,conceptual
2731,conceptual
2731,conceptual
2731,conceptual
2731,conceptual
2731,computationally
2731,conceptual
2738,presupposes
2738,utterances
2739,behaviorism
2744,undertaking
2744,antirealism
2748,deforestation
2748,deforestation
2748,antipoverty
2750,sterling
2755,comparatively
2758,ritual:
2758,ritual:
2760,conservation
2761,habitats
2761,representative
2762,propositional
2762,nonhuman
2764,stockbroker
2764,stockbroker
2765,cramped
2765,punctuated
2765,cramped
2765,punctuated
2765,endure
2765,cramped
2765,unreliable
2765,endure
2765,punctuated
2765,vengeance
2769,reducible
2769,computational)
2769,coextensive
2769,coextensive
2770,correlation
2774,metaphysical
2774,intimately
2774,metaphysical
2775,metaphysical
2775,metaphysical
2775,metaphysical
2775,metaphysical
2775,metaphysical
2775,metaphysical
2775,metaphysical
2775,metaphysical
2775,metaphysical
2775,metaphysical
2775,metaphysical
2775,metaphysical
2775,metaphysical
2776,flourishes
2776,flourishes
2776,flourishes
2776,playful
2777,extracurricular
2784,conditional
2784,substantially
2784,substantially
2785,makeshift
2785,inclement
2785,inclement
2790,regimented